Year,AgeGroup,NumofSuicide,VeteranPopEst,"CrudeRate/100,000",MaleSuicide,MalePopEst,"MaleCrudeRate/100,000",FemaleNumofSuicide,FemalePopEst,"FemaleCrudeRate/100,000",NonRecentVHAsuicides,NonRecentVHAuserPopEst,"NonRecentVHAcrudeRate/100,000",NumOfRecentVHAuserSuicide,VHAvetPopEst,"RecentVHAuserSuicideCrudeRate/100,000"
2015,18-34,842,"2,045,000",41.2,780,"1,658,000",47.0,62,"387,000",16,557,"1,439,118",38.7,285,"601,872",47.4
2015,35-54,"1,862","5,663,000",32.9,"1,710","4,838,000",35.3,152,"825,000",18.4,"1,349","4,415,282",30.6,513,"1,234,984",41.5
2015,55-74,"2,499","8,955,000",27.9,"2,409","8,401,000",28.7,101,"698,000",14.5,"1,526","5,999,066",25.4,973,"2,924,651",33.3
2015,75+,"1,415","4,578,000",30.9,"1,404","4,434,000",31.7,0,0,0,871,"3,341,501",26.1,544,"1,216,952",44.6
2015,All,"6,624","21,241,000",31.2,"6,309","19,331,000",32.6,315,"1,910,000",16.5,"4,309","15,194,302",28.4,"2,315","5,979,118",38.7
2016,18-34,891,"1,997,000",44.6,834,"1,622,000",51.4,57,"375,000",15.2,574,"1,377,937",41.7,317,"615,346",51.5
2016,35-54,"1,699","5,496,000",30.9,"1,564","4,682,000",33.4,135,"814,000",16.6,"1,214","4,223,887",28.7,485,"1,259,661",38.5
2016,55-74,"2,454","8,831,000",27.8,"2,360","8,254,000",28.6,107,"710,000",15.1,"1,471","5,837,189",25.2,983,"2,962,547",33.1
2016,75+,"1,441","4,539,000",31.7,"1,428","4,406,000",32.4,0,0,0,868,"3,310,401",26.2,573,"1,209,288",47.4
2016,All,"6,496","20,863,000",31.1,"6,197","18,964,000",32.7,299,"1,899,000",15.7,"4,138","14,748,778",28.1,"2,358","6,047,472",39.0
2017,18-34,887,"1,951,000",45.5,804,"1,589,000",50.6,83,"362,000",22.9,558,"1,341,626",41.6,329,"605,758",54.3
2017,35-54,"1,796","5,343,000",33.6,"1,650","4,529,000",36.4,146,"814,000",17.9,"1,289","4,044,407",31.9,507,"1,286,446",39.4
2017,55-74,"2,558","8,674,000",29.5,"2,441","8,056,000",30.3,146,"761,000",19.2,"1,585","5,663,145",28,973,"2,979,746",32.7
2017,75+,"1,510","4,512,000",33.5,"1,481","4,369,000",33.9,0,0,0,949,"3,276,590",29,561,"1,216,315",46.1
2017,All,"6,783","20,480,000",33.1,"6,405","18,543,000",34.5,378,"1,937,000",19.5,"4,413","14,325,195",30.8,"2,370","6,088,833",38.9
2018,18-34,905,"1,904,000",47.5,820,"1,547,000",53.0,85,"357,000",23.8,589,"1,318,485",44.7,316,"582,126",54.1
2018,35-54,"1,744","5,196,000",33.6,"1,604","4,381,000",36.6,140,"815,000",17.2,"1,209","3,864,233",31.3,535,"1,320,118",40.5
2018,55-74,"2,684","8,551,000",31.4,"2,575","7,893,000",32.6,130,"793,000",16.4,"1,689","5,554,703",30.4,995,"2,966,915",33.5
2018,75+,"1,435","4,515,000",31.8,"1,414","4,380,000",32.3,0,0,0,893,"3,249,973",27.5,542,"1,247,184",43.5
2018,All,"6,796","20,166,000",33.7,"6,439","18,201,000",35.4,357,"1,965,000",18.2,"4,408","13,986,920",31.5,"2,388","6,116,816",39.0
2019,18-34,829,"1,863,000",44.5,772,"1,514,000",51.0,57,"349,000",16.3,514,"1,297,627",39.6,315,"562,141",56.0
2019,35-54,"1,680","5,075,000",33.1,"1,528","4,258,000",35.9,152,"817,000",18.6,"1,108","3,702,290",29.9,572,"1,361,274",42.0
2019,55-74,"2,452","8,352,000",29.4,"2,338","7,669,000",30.5,134,"826,000",16.2,"1,461","5,377,265",27.2,991,"2,945,639",33.6
2019,75+,"1,497","4,507,000",33.2,"1,477","4,364,000",33.8,0,0,0,897,"3,199,339",28,600,"1,289,375",46.5
2019,All,"6,489","19,797,000",32.8,"6,144","17,805,000",34.5,345,"1,992,000",17.3,"4,011","13,576,124",29.5,"2,478","6,158,823",40.2
2020,18-34,843,"1,827,000",46.1,776,"1,484,000",52.3,67,"343,000",19.5,526,"1,325,648",39.7,317,"498,377",63.6
2020,35-54,"1,575","4,950,000",31.8,"1,458","4,142,000",35.2,117,"808,000",14.5,"1,061","3,608,042",29.4,514,"1,330,842",38.6
2020,55-74,"2,222","8,096,000",27.4,"2,137","7,387,000",28.9,91,"849,000",10.7,"1,321","5,257,693",25.1,901,"2,810,344",32.1
2020,75+,"1,451","4,530,000",32.0,"1,445","4,390,000",32.9,0,0,0,743,"3,206,969",23.2,708,"1,304,890",54.3
2020,All,"6,146","19,403,000",31.7,"5,870","17,403,000",33.7,276,"2,000,000",13.8,"3,706","13,397,918",27.7,"2,440","5,944,883",41.0
